id,Tipo de inmueble,Operación,Precio,Estado,Delegación,Colonia,Núm. de recamaras,Núm. de baños,Estacionamientos,m2 de construcción,m2 de terreno,Niveles,Antigüedad,fecha_captura
64552tc,OFICINA,RENTA,"$11,000 MXN",CDMX,TLALPAN,Toriello Guerra,,SI,,13,,,ENTRE 11 - 15 AÑOS,2025-05-16 01:31:45
64565tc,OFICINA,RENTA,"$15,900 MXN",CDMX,BENITO JUAREZ,Napoles,,1,,62,,,,2025-05-16 01:31:48
64581tc,DEPARTAMENTO,RENTA,"$22,600 MXN",CDMX,BENITO JUAREZ,Narvarte Poniente,2,,2,80,,,ENTRE 16 - 20 AÑOS,2025-05-16 01:31:51
64652tc,DEPARTAMENTO,RENTA,"$12,000 MXN",CDMX,CUAUHTEMOC,Santa Maria La Ribera,2,1,,50,,,,2025-05-16 01:31:53
64695tc,CASA DUPLEX,RENTA,"$16,800 MXN",CDMX,AZCAPOTZALCO,San Alvaro,3,SI,2,100,,,,2025-05-16 01:31:57
64482tc,DEPARTAMENTO,RENTA,"$8,500 MXN",CDMX,TLALPAN,Chimalcoyoc,2,1,1,55,,,ENTRE 11 - 15 AÑOS,2025-05-16 01:32:00
64508tc,CASA,RENTA,"$15,000 MXN",CDMX,IZTAPALAPA,Escuadron 201,,1,1,50,,,,2025-05-16 01:32:03
64406tc,DEPARTAMENTO,RENTA,"$13,000 MXN",CDMX,BENITO JUAREZ,Del Valle Norte,1,1,,49,,2,MAS DE 30,2025-05-16 01:32:06
64409tc,TERRENO,RENTA,"$20,000 MXN",CDMX,TLALPAN,Chimilli,,,,400,,,,2025-05-16 01:32:08
64413tc,OFICINA,RENTA,"$3,500 MXN",CDMX,IZTAPALAPA,Heroes De Churubusco,,1,,11,,2,,2025-05-16 01:32:11
64414tc,CASA,RENTA,"$3,800 MXN",CDMX,IZTAPALAPA,Heroes De Churubusco,1,1,,15,,,,2025-05-16 01:32:15
64421tc,DEPARTAMENTO,RENTA,"$15,000 MXN",CDMX,CUAUHTEMOC,Roma Sur,1,1,1,50,,1,MAS DE 30,2025-05-16 01:32:18
64434tc,OFICINA,RENTA,"$70,000 MXN",CDMX,TLALPAN,Barrio La Fama,,3,1,300,,,ENTRE 21 - 30 AÑOS,2025-05-16 01:32:20
64436tc,OFICINA,RENTA,"$22,500 MXN",CDMX,TLALPAN,Barrio La Fama,,2,1,124,,,ENTRE 21 - 30 AÑOS,2025-05-16 01:32:24
64440tc,OFICINA,RENTA,"$25,000 MXN",CDMX,TLALPAN,Barrio La Fama,,2,1,135,,,ENTRE 21 - 30 AÑOS,2025-05-16 01:32:28
64453tc,OFICINA,RENTA,"$14,000 MXN",CDMX,CUAUHTEMOC,San Rafael,,1,,,,2,ENTRE 11 - 15 AÑOS,2025-05-16 01:32:30
64370tc,LOCAL COMERCIAL,RENTA,"$20,000 MXN",CDMX,ALVARO OBREGON,Tizapan,,SI,,30,,,ENTRE 11 - 15 AÑOS,2025-05-16 01:32:33
64382tc,OFICINA,RENTA,"$28,500 MXN",CDMX,LA MAGDALENA CONTRERAS,San Jeronimo Aculco,,,2,43,,,,2025-05-16 01:32:37
64390tc,LOCAL COMERCIAL,RENTA,"$5,900 MXN",CDMX,COYOACAN,Pueblo La Candelaria,,1,,10,,,ENTRE 6 - 10 AÑOS,2025-05-16 01:32:40
64177tc,DEPARTAMENTO,RENTA,"$29,500 MXN",CDMX,CUAUHTEMOC,Cuauhtemoc,2,2,1,120,,5,MAS DE 30,2025-05-16 01:32:43
64470tc,DEPARTAMENTO,RENTA,"$29,000 MXN",CDMX,ALVARO OBREGON,Las Aguilas,3,SI,3,143,,3,ENTRE 6 - 10 AÑOS,2025-05-16 01:32:46
64476tc,DEPARTAMENTO,RENTA,"$21,000 MXN",CDMX,BENITO JUAREZ,General Pedro Maria Anaya,,,,78,,,,2025-05-16 01:32:49
64324tc,DEPARTAMENTO,RENTA,"$13,500 MXN",CDMX,COYOACAN,Pueblo La Candelaria,2,1,1,52,,5,ENTRE 11 - 15 AÑOS,2025-05-16 01:32:51
